name,type,pdb_id,pdb_chain,uniprot,resolution
SARS-CoV-2 Main Protease,viral,6LU7,A,P0DTD1,2.16
HIV-1 Protease,viral,1HSG,A,P04585,2.00
Influenza Neuraminidase,viral,2HU4,A,P03468,2.50
SARS-CoV-2 Spike RBD,viral,6M0J,E,P0DTC2,2.45
Dengue NS3 Helicase,viral,2BMF,A,Q9YID8,2.41
Human Lysozyme,cellular,1LZ1,A,P61626,1.50
Human Serum Albumin,cellular,1AO6,A,P02768,2.50
Human Ubiquitin,cellular,1UBQ,A,P0CG48,1.80
Human Hemoglobin Alpha,cellular,1HHO,A,P69905,2.10
Human Cyclophilin A,cellular,1CWA,A,P62937,2.10
